---------------------------------------------------------------------------------------------------
 Scheduler    lambda       AvgTurnaround          Throughput     CPU Utilization          AvgReadyQ
---------------------------------------------------------------------------------------------------

      FCFS        10           0.0641639             10.0308            0.394777             498.349
      FCFS        11           0.0688001             11.0337             0.43425             498.349
      FCFS        12           0.0741768             12.0366            0.473722             498.349
      FCFS        13           0.0807325             13.0396            0.513193             498.349
      FCFS        14           0.0882735             14.0424            0.552662             498.349
      FCFS        15           0.0972535             15.0453            0.592131             498.349
      FCFS        16            0.108154             16.0482            0.631601             498.349
      FCFS        17            0.120901             17.0509            0.671064             498.349
      FCFS        18            0.137332             18.0536            0.710529             498.349
      FCFS        19            0.158791             19.0564            0.749997             498.349
      FCFS        20            0.188629              20.059            0.789455             498.349
      FCFS        21            0.230183             21.0575            0.828753             498.349
      FCFS        22            0.288915             22.0444            0.867594             498.349
      FCFS        23             0.40827             23.0254            0.906202             498.349
      FCFS        24            0.674936             24.0003            0.944572             498.349
      FCFS        25             1.84069             24.9485            0.981889             498.349
      FCFS        26             5.92873             25.2693            0.994513             498.349
      FCFS        27             12.4397             25.3102            0.996123             498.349
